imgPlaqueName,plateNumber,nation,departement
2000d912dd.png,VJ295QL,F,61
2000fe8689.png,GX136CS,F,67
20009ebc34.png,LM953RQ,F,71
200046aee6.png,SO020NB,F,09
200083367d.png,PV370AQ,F,65
20007eeaf7.png,YR863DS,F,81
20009c685a.png,IY275RY,F,14
2000035fdd.png,PR090ED,F,79
2000fe8e52.png,UD239XI,F,49
2000693005.png,OR189JI,F,66
2000503fde.png,BQ544MD,F,2A
2000749710.png,LH750MB,F,85
20000ddc8d.png,PN786IO,F,90
200098a5c6.png,ID941AY,F,42
200078983b.png,MW327OS,F,17
2000ed4d8e.png,QU506ZJ,F,47
2000aa8a04.png,QS981NK,F,84
2000ed55c7.png,MM134YB,F,973
200025d657.png,OR405TH,F,87
20003f3bf8.png,EJ296UA,F,32
20000ae3c0.png,OD755DR,F,86
20003f960b.png,QP303WV,F,14
20005f2ac5.png,IZ959UH,F,64
2000aacdbc.png,VO027OI,F,66
2000dde6c0.png,IW893KZ,F,76
200060d23b.png,ZB681ST,F,87
20007dbb6f.png,QR972CN,F,28
2000c3805e.png,DL911RE,F,34
2000fa73c4.png,PG891RP,F,14
20004a5ae7.png,GH909DC,F,972
2000ca7b54.png,BA164LN,F,39
200082377a.png,UT218AF,F,04
2000b4c972.png,AH740LJ,F,50
20004f0862.png,ZM887SY,F,57
2000179e12.png,BL851RZ,F,18
200091750f.png,PH147XL,F,34
20002139c6.png,PU438DU,F,25
200002a733.png,EO058CB,F,63
20009afba4.png,DZ552YI,F,03
2000e47f23.png,EW756EJ,F,13
2000cd5820.png,DW836TJ,F,82
20006e781b.png,PL879RS,F,47
20009376ef.png,FQ911HU,F,987
2000e8e445.png,CY759BL,F,15
20001c0443.png,CR785EB,F,2B
2000727ba5.png,VD887YE,F,83
200043675d.png,BZ690XH,F,971
2000ccd312.png,LD690AL,F,08
2000dea720.png,GT693NO,F,18
200061436f.png,BD807ZL,F,08
2000f5809b.png,BB648PT,F,92
2000f7b68b.png,LO646YC,F,10
20002da022.png,KL652BW,F,39
200047bce2.png,VV988SB,F,65
2000cad194.png,YS539WJ,F,09
20007b8219.png,MI639DK,F,43
20007daf9d.png,XY794GC,F,81
200099a713.png,RC428NG,F,41
2000e6432b.png,MF363KY,F,88
2000d8b440.png,CI149CP,F,85
2000dbf8df.png,RD958VG,F,72
20008896ad.png,GQ089QE,F,976
2000c32fb4.png,VX791QG,F,17
200009eba4.png,YM717SQ,F,28
2000bdb856.png,SB486SR,F,88
200016525a.png,BU973EM,F,18
2000ca7e6d.png,EV925OK,F,49
2000e5ec87.png,GR462CF,F,14
20006c2301.png,RP842SO,F,84
20003340b1.png,YD701GR,F,2B
2000ff7860.png,MM618NK,F,52
200000890a.png,BQ256BB,F,83
20003c63b6.png,RY215XW,F,83
2000f655c6.png,VA480LU,F,67
2000f68855.png,BM158BM,F,05
2000b6d447.png,QG516IV,F,19
2000914074.png,WK867YJ,F,53
2000b71cca.png,BU563EJ,F,09
2000522be8.png,XE878IP,F,42
2000f1573f.png,LM470SB,F,972
20005f9f03.png,UM276UZ,F,45
2000ad9db8.png,BB706WQ,F,56
20009d67e4.png,JE505UO,F,61
20001080c4.png,DQ107SN,F,34
